trip_id,stop_id,stop_sequence,arrival_time,departure_time
T_M1_5,S_PAGANO,4,05:51:00,05:51:30
T_M1_5,S_CADORNA,5,05:53:00,05:53:30
T_M1_5,S_CAIROLI,6,05:55:00,05:55:30
T_M1_5,S_CORDUSIO,7,05:57:00,05:57:30
T_M1_5,S_DUOMO,8,05:59:00,05:59:00
T_M1_6,S_DUOMO,1,05:48:00,05:48:30
T_M1_6,S_CORDUSIO,2,05:50:00,05:50:30
T_M1_6,S_CAIROLI,3,05:52:00,05:52:30
T_M1_6,S_CADORNA,4,05:54:00,05:54:30
T_M1_6,S_PAGANO,5,05:56:00,05:56:30
T_M1_6,S_AMENDOLA,6,05:58:00,05:58:30
T_M1_6,S_BUONARROTI,7,06:00:00,06:00:30
T_M1_6,S_DEANGELI,8,06:02:00,06:02:00
T_M1_7,S_DEANGELI,1,05:51:00,05:51:30
T_M1_7,S_BUONARROTI,2,05:53:00,05:53:30
T_M1_7,S_AMENDOLA,3,05:55:00,05:55:30
T_M1_7,S_PAGANO,4,05:57:00,05:57:30
T_M1_7,S_CADORNA,5,05:59:00,05:59:30
T_M1_7,S_CAIROLI,6,06:01:00,06:01:30
T_M1_7,S_CORDUSIO,7,06:03:00,06:03:30
T_M1_7,S_DUOMO,8,06:05:00,06:05:00
T_M1_8,S_DUOMO,1,05:54:00,05:54:30
T_M1_8,S_CORDUSIO,2,05:56:00,05:56:30
T_M1_8,S_CAIROLI,3,05:58:00,05:58:30
T_M1_8,S_CADORNA,4,06:00:00,06:00:30
T_M1_8,S_PAGANO,5,06:02:00,06:02:30
T_M1_8,S_AMENDOLA,6,06:04:00,06:04:30
T_M1_8,S_BUONARROTI,7,06:06:00,06:06:30
T_M1_8,S_DEANGELI,8,06:08:00,06:08:00
T_M1_9,S_DEANGELI,1,05:57:00,05:57:30
T_M1_9,S_BUONARROTI,2,05:59:00,05:59:30
T_M1_9,S_AMENDOLA,3,06:01:00,06:01:30
T_M1_9,S_PAGANO,4,06:03:00,06:03:30
T_M1_9,S_CADORNA,5,06:05:00,06:05:30
T_M1_9,S_CAIROLI,6,06:07:00,06:07:30
T_M1_9,S_CORDUSIO,7,06:09:00,06:09:30
T_M1_9,S_DUOMO,8,06:11:00,06:11:00
T_M1_10,S_DUOMO,1,06:00:00,06:00:30
T_M1_10,S_CORDUSIO,2,06:02:00,06:02:30
T_M1_10,S_CAIROLI,3,06:04:00,06:04:30
T_M1_10,S_CADORNA,4,06:06:00,06:06:30
T_M1_10,S_PAGANO,5,06:08:00,06:08:30
T_M1_10,S_AMENDOLA,6,06:10:00,06:10:30
T_M1_10,S_BUONARROTI,7,06:12:00,06:12:30
T_M1_10,S_DEANGELI,8,06:14:00,06:14:00
T_M1_11,S_DEANGELI,1,06:03:00,06:03:30
T_M1_11,S_BUONARROTI,2,06:05:00,06:05:30
T_M1_11,S_AMENDOLA,3,06:07:00,06:07:30
T_M1_11,S_PAGANO,4,06:09:00,06:09:30
T_M1_11,S_CADORNA,5,06:11:00,06:11:30
T_M1_11,S_CAIROLI,6,06:13:00,06:13:30
T_M1_11,S_CORDUSIO,7,06:15:00,06:15:30
T_M1_11,S_DUOMO,8,06:17:00,06:17:00
T_M1_12,S_DUOMO,1,06:06:00,06:06:30
T_M1_12,S_CORDUSIO,2,06:08:00,06:08:30
T_M1_12,S_CAIROLI,3,06:10:00,06:10:30
T_M1_12,S_CADORNA,4,06:12:00,06:12:30
T_M1_12,S_PAGANO,5,06:14:00,06:14:30
T_M1_12,S_AMENDOLA,6,06:16:00,06:16:30
T_M1_12,S_BUONARROTI,7,06:18:00,06:18:30
T_M1_12,S_DEANGELI,8,06:20:00,06:20:00
T_M1_13,S_DEANGELI,1,06:09:00,06:09:30
T_M1_13,S_BUONARROTI,2,06:11:00,06:11:30
T_M1_13,S_AMENDOLA,3,06:13:00,06:13:30
T_M1_13,S_PAGANO,4,06:15:00,06:15:30
T_M1_13,S_CADORNA,5,06:17:00,06:17:30
T_M1_13,S_CAIROLI,6,06:19:00,06:19:30
T_M1_13,S_CORDUSIO,7,06:21:00,06:21:30
T_M1_13,S_DUOMO,8,06:23:00,06:23:00
T_M1_14,S_DUOMO,1,06:12:00,06:12:30
T_M1_14,S_CORDUSIO,2,06:14:00,06:14:30
T_M1_14,S_CAIROLI,3,06:16:00,06:16:30
T_M1_14,S_CADORNA,4,06:18:00,06:18:30
T_M1_14,S_PAGANO,5,06:20:00,06:20:30
T_M1_14,S_AMENDOLA,6,06:22:00,06:22:30
T_M1_14,S_BUONARROTI,7,06:24:00,06:24:30
T_M1_14,S_DEANGELI,8,06:26:00,06:26:00
T_M1_15,S_DEANGELI,1,06:15:00,06:15:30
T_M1_15,S_BUONARROTI,2,06:17:00,06:17:30
T_M1_15,S_AMENDOLA,3,06:19:00,06:19:30
T_M1_15,S_PAGANO,4,06:21:00,06:21:30
T_M1_15,S_CADORNA,5,06:23:00,06:23:30
T_M1_15,S_CAIROLI,6,06:25:00,06:25:30
T_M1_15,S_CORDUSIO,7,06:27:00,06:27:30
T_M1_15,S_DUOMO,8,06:29:00,06:29:00
T_M1_16,S_DUOMO,1,06:18:00,06:18:30
T_M1_16,S_CORDUSIO,2,06:20:00,06:20:30
T_M1_16,S_CAIROLI,3,06:22:00,06:22:30
T_M1_16,S_CADORNA,4,06:24:00,06:24:30
T_M1_16,S_PAGANO,5,06:26:00,06:26:30
T_M1_16,S_AMENDOLA,6,06:28:00,06:28:30
T_M1_16,S_BUONARROTI,7,06:30:00,06:30:30
T_M1_16,S_DEANGELI,8,06:32:00,06:32:00
T_M1_17,S_DEANGELI,1,06:21:00,06:21:30
T_M1_17,S_BUONARROTI,2,06:23:00,06:23:30
T_M1_17,S_AMENDOLA,3,06:25:00,06:25:30
T_M1_17,S_PAGANO,4,06:27:00,06:27:30
T_M1_17,S_CADORNA,5,06:29:00,06:29:30
T_M1_17,S_CAIROLI,6,06:31:00,06:31:30
T_M1_17,S_CORDUSIO,7,06:33:00,06:33:30
T_M1_17,S_DUOMO,8,06:35:00,06:35:00
T_M1_18,S_DUOMO,1,06:24:00,06:24:30
T_M1_18,S_CORDUSIO,2,06:26:00,06:26:30
T_M1_18,S_CAIROLI,3,06:28:00,06:28:30
T_M1_18,S_CADORNA,4,06:30:00,06:30:30
T_M1_18,S_PAGANO,5,06:32:00,06:32:30
T_M1_18,S_AMENDOLA,6,06:34:00,06:34:30
T_M1_18,S_BUONARROTI,7,06:36:00,06:36:30
T_M1_18,S_DEANGELI,8,06:38:00,06:38:00
T_M1_19,S_DEANGELI,1,06:27:00,06:27:30
T_M1_19,S_BUONARROTI,2,06:29:00,06:29:30
T_M1_19,S_AMENDOLA,3,06:31:00,06:31:30
T_M1_19,S_PAGANO,4,06:33:00,06:33:30
T_M1_19,S_CADORNA,5,06:35:00,06:35:30
T_M1_19,S_CAIROLI,6,06:37:00,06:37:30
T_M1_19,S_CORDUSIO,7,06:39:00,06:39:30
T_M1_19,S_DUOMO,8,06:41:00,06:41:00
T_M1_20,S_DUOMO,1,06:30:00,06:30:30
T_M1_20,S_CORDUSIO,2,06:32:00,06:32:30
T_M1_20,S_CAIROLI,3,06:34:00,06:34:30
T_M1_20,S_CADORNA,4,06:36:00,06:36:30
T_M1_20,S_PAGANO,5,06:38:00,06:38:30
T_M1_20,S_AMENDOLA,6,06:40:00,06:40:30
T_M1_20,S_BUONARROTI,7,06:42:00,06:42:30
T_M1_20,S_DEANGELI,8,06:44:00,06:44:00
T_M1_21,S_DEANGELI,1,06:33:00,06:33:30
T_M1_21,S_BUONARROTI,2,06:35:00,06:35:30
T_M1_21,S_AMENDOLA,3,06:37:00,06:37:30
T_M1_21,S_PAGANO,4,06:39:00,06:39:30
T_M1_21,S_CADORNA,5,06:41:00,06:41:30
T_M1_21,S_CAIROLI,6,06:43:00,06:43:30
T_M1_21,S_CORDUSIO,7,06:45:00,06:45:30
T_M1_21,S_DUOMO,8,06:47:00,06:47:00
T_M1_22,S_DUOMO,1,06:36:00,06:36:30
T_M1_22,S_CORDUSIO,2,06:38:00,06:38:30
T_M1_22,S_CAIROLI,3,06:40:00,06:40:30
T_M1_22,S_CADORNA,4,06:42:00,06:42:30
T_M1_22,S_PAGANO,5,06:44:00,06:44:30
T_M1_22,S_AMENDOLA,6,06:46:00,06:46:30
T_M1_22,S_BUONARROTI,7,06:48:00,06:48:30
T_M1_22,S_DEANGELI,8,06:50:00,06:50:00
T_M1_23,S_DEANGELI,1,06:39:00,06:39:30
T_M1_23,S_BUONARROTI,2,06:41:00,06:41:30
T_M1_23,S_AMENDOLA,3,06:43:00,06:43:30
T_M1_23,S_PAGANO,4,06:45:00,06:45:30
T_M1_23,S_CADORNA,5,06:47:00,06:47:30
T_M1_23,S_CAIROLI,6,06:49:00,06:49:30
T_M1_23,S_CORDUSIO,7,06:51:00,06:51:30
T_M1_23,S_DUOMO,8,06:53:00,06:53:00
T_M1_24,S_DUOMO,1,06:42:00,06:42:30
T_M1_24,S_CORDUSIO,2,06:44:00,06:44:30
T_M1_24,S_CAIROLI,3,06:46:00,06:46:30
T_M1_24,S_CADORNA,4,06:48:00,06:48:30
T_M1_24,S_PAGANO,5,06:50:00,06:50:30
T_M1_24,S_AMENDOLA,6,06:52:00,06:52:30
T_M1_24,S_BUONARROTI,7,06:54:00,06:54:30
T_M1_24,S_DEANGELI,8,06:56:00,06:56:00
T_M1_25,S_DEANGELI,1,06:45:00,06:45:30
T_M1_25,S_BUONARROTI,2,06:47:00,06:47:30
T_M1_25,S_AMENDOLA,3,06:49:00,06:49:30
T_M1_25,S_PAGANO,4,06:51:00,06:51:30
T_M1_25,S_CADORNA,5,06:53:00,06:53:30
T_M1_25,S_CAIROLI,6,06:55:00,06:55:30
T_M1_25,S_CORDUSIO,7,06:57:00,06:57:30
T_M1_25,S_DUOMO,8,06:59:00,06:59:00
T_M1_26,S_DUOMO,1,06:48:00,06:48:30
T_M1_26,S_CORDUSIO,2,06:50:00,06:50:30
T_M1_26,S_CAIROLI,3,06:52:00,06:52:30
T_M1_26,S_CADORNA,4,06:54:00,06:54:30
T_M1_26,S_PAGANO,5,06:56:00,06:56:30
T_M1_26,S_AMENDOLA,6,06:58:00,06:58:30
T_M1_26,S_BUONARROTI,7,07:00:00,07:00:30
T_M1_26,S_DEANGELI,8,07:02:00,07:02:00
T_M1_27,S_DEANGELI,1,06:51:00,06:51:30
T_M1_27,S_BUONARROTI,2,06:53:00,06:53:30
T_M1_27,S_AMENDOLA,3,06:55:00,06:55:30
T_M1_27,S_PAGANO,4,06:57:00,06:57:30
T_M1_27,S_CADORNA,5,06:59:00,06:59:30
T_M1_27,S_CAIROLI,6,07:01:00,07:01:30
T_M1_27,S_CORDUSIO,7,07:03:00,07:03:30
T_M1_27,S_DUOMO,8,07:05:00,07:05:00
T_M1_28,S_DUOMO,1,06:54:00,06:54:30
T_M1_28,S_CORDUSIO,2,06:56:00,06:56:30
T_M1_28,S_CAIROLI,3,06:58:00,06:58:30
T_M1_28,S_CADORNA,4,07:00:00,07:00:30
T_M1_28,S_PAGANO,5,07:02:00,07:02:30
T_M1_28,S_AMENDOLA,6,07:04:00,07:04:30
T_M1_28,S_BUONARROTI,7,07:06:00,07:06:30
T_M1_28,S_DEANGELI,8,07:08:00,07:08:00
T_M1_29,S_DEANGELI,1,06:57:00,06:57:30
T_M1_29,S_BUONARROTI,2,06:59:00,06:59:30
T_M1_29,S_AMENDOLA,3,07:01:00,07:01:30
T_M1_29,S_PAGANO,4,07:03:00,07:03:30
T_M1_29,S_CADORNA,5,07:05:00,07:05:30
T_M1_29,S_CAIROLI,6,07:07:00,07:07:30
T_M1_29,S_CORDUSIO,7,07:09:00,07:09:30
T_M1_29,S_DUOMO,8,07:11:00,07:11:00
T_M1_30,S_DUOMO,1,07:00:00,07:00:30
T_M1_30,S_CORDUSIO,2,07:02:00,07:02:30
T_M1_30,S_CAIROLI,3,07:04:00,07:04:30
T_M1_30,S_CADORNA,4,07:06:00,07:06:30
T_M1_30,S_PAGANO,5,07:08:00,07:08:30
T_M1_30,S_AMENDOLA,6,07:10:00,07:10:30
T_M1_30,S_BUONARROTI,7,07:12:00,07:12:30
T_M1_30,S_DEANGELI,8,07:14:00,07:14:00
T_M1_31,S_DEANGELI,1,07:03:00,07:03:30
T_M1_31,S_BUONARROTI,2,07:05:00,07:05:30
T_M1_31,S_AMENDOLA,3,07:07:00,07:07:30
T_M1_31,S_PAGANO,4,07:09:00,07:09:30
T_M1_31,S_CADORNA,5,07:11:00,07:11:30
T_M1_31,S_CAIROLI,6,07:13:00,07:13:30
T_M1_31,S_CORDUSIO,7,07:15:00,07:15:30
T_M1_31,S_DUOMO,8,07:17:00,07:17:00
T_M1_32,S_DUOMO,1,07:06:00,07:06:30
T_M1_32,S_CORDUSIO,2,07:08:00,07:08:30
T_M1_32,S_CAIROLI,3,07:10:00,07:10:30
T_M1_32,S_CADORNA,4,07:12:00,07:12:30
T_M1_32,S_PAGANO,5,07:14:00,07:14:30
T_M1_32,S_AMENDOLA,6,07:16:00,07:16:30
T_M1_32,S_BUONARROTI,7,07:18:00,07:18:30
T_M1_32,S_DEANGELI,8,07:20:00,07:20:00
T_M1_33,S_DEANGELI,1,07:09:00,07:09:30
T_M1_33,S_BUONARROTI,2,07:11:00,07:11:30
T_M1_33,S_AMENDOLA,3,07:13:00,07:13:30
T_M1_33,S_PAGANO,4,07:15:00,07:15:30
T_M1_33,S_CADORNA,5,07:17:00,07:17:30
T_M1_33,S_CAIROLI,6,07:19:00,07:19:30
T_M1_33,S_CORDUSIO,7,07:21:00,07:21:30
T_M1_33,S_DUOMO,8,07:23:00,07:23:00
T_M1_34,S_DUOMO,1,07:12:00,07:12:30
T_M1_34,S_CORDUSIO,2,07:14:00,07:14:30
T_M1_34,S_CAIROLI,3,07:16:00,07:16:30
T_M1_34,S_CADORNA,4,07:18:00,07:18:30
T_M1_34,S_PAGANO,5,07:20:00,07:20:30
T_M1_34,S_AMENDOLA,6,07:22:00,07:22:30
T_M1_34,S_BUONARROTI,7,07:24:00,07:24:30
T_M1_34,S_DEANGELI,8,07:26:00,07:26:00
T_M1_35,S_DEANGELI,1,07:15:00,07:15:30
T_M1_35,S_BUONARROTI,2,07:17:00,07:17:30
T_M1_35,S_AMENDOLA,3,07:19:00,07:19:30
T_M1_35,S_PAGANO,4,07:21:00,07:21:30
T_M1_35,S_CADORNA,5,07:23:00,07:23:30
T_M1_35,S_CAIROLI,6,07:25:00,07:25:30
T_M1_35,S_CORDUSIO,7,07:27:00,07:27:30
T_M1_35,S_DUOMO,8,07:29:00,07:29:00
T_M1_36,S_DUOMO,1,07:18:00,07:18:30
T_M1_36,S_CORDUSIO,2,07:20:00,07:20:30
T_M1_36,S_CAIROLI,3,07:22:00,07:22:30
T_M1_36,S_CADORNA,4,07:24:00,07:24:30
T_M1_36,S_PAGANO,5,07:26:00,07:26:30
T_M1_36,S_AMENDOLA,6,07:28:00,07:28:30
T_M1_36,S_BUONARROTI,7,07:30:00,07:30:30
T_M1_36,S_DEANGELI,8,07:32:00,07:32:00
T_M1_37,S_DEANGELI,1,07:21:00,07:21:30
T_M1_37,S_BUONARROTI,2,07:23:00,07:23:30
T_M1_37,S_AMENDOLA,3,07:25:00,07:25:30
T_M1_37,S_PAGANO,4,07:27:00,07:27:30
T_M1_37,S_CADORNA,5,07:29:00,07:29:30
T_M1_37,S_CAIROLI,6,07:31:00,07:31:30
T_M1_37,S_CORDUSIO,7,07:33:00,07:33:30
T_M1_37,S_DUOMO,8,07:35:00,07:35:00
T_M1_38,S_DUOMO,1,07:24:00,07:24:30
T_M1_38,S_CORDUSIO,2,07:26:00,07:26:30
T_M1_38,S_CAIROLI,3,07:28:00,07:28:30
T_M1_38,S_CADORNA,4,07:30:00,07:30:30
T_M1_38,S_PAGANO,5,07:32:00,07:32:30
T_M1_38,S_AMENDOLA,6,07:34:00,07:34:30
T_M1_38,S_BUONARROTI,7,07:36:00,07:36:30
T_M1_38,S_DEANGELI,8,07:38:00,07:38:00
T_M1_39,S_DEANGELI,1,07:27:00,07:27:30
T_M1_39,S_BUONARROTI,2,07:29:00,07:29:30
T_M1_39,S_AMENDOLA,3,07:31:00,07:31:30
T_M1_39,S_PAGANO,4,07:33:00,07:33:30
T_M1_39,S_CADORNA,5,07:35:00,07:35:30
T_M1_39,S_CAIROLI,6,07:37:00,07:37:30
T_M1_39,S_CORDUSIO,7,07:39:00,07:39:30
T_M1_39,S_DUOMO,8,07:41:00,07:41:00
T_M1_40,S_DUOMO,1,07:30:00,07:30:30
T_M1_40,S_CORDUSIO,2,07:32:00,07:32:30
T_M1_40,S_CAIROLI,3,07:34:00,07:34:30
T_M1_40,S_CADORNA,4,07:36:00,07:36:30
T_M1_40,S_PAGANO,5,07:38:00,07:38:30
T_M1_40,S_AMENDOLA,6,07:40:00,07:40:30
T_M1_40,S_BUONARROTI,7,07:42:00,07:42:30
T_M1_40,S_DEANGELI,8,07:44:00,07:44:00
T_M1_41,S_DEANGELI,1,07:33:00,07:33:30
T_M1_41,S_BUONARROTI,2,07:35:00,07:35:30
T_M1_41,S_AMENDOLA,3,07:37:00,07:37:30
T_M1_41,S_PAGANO,4,07:39:00,07:39:30
T_M1_41,S_CADORNA,5,07:41:00,07:41:30
T_M1_41,S_CAIROLI,6,07:43:00,07:43:30
T_M1_41,S_CORDUSIO,7,07:45:00,07:45:30
T_M1_41,S_DUOMO,8,07:47:00,07:47:00
T_M1_42,S_DUOMO,1,07:36:00,07:36:30
T_M1_42,S_CORDUSIO,2,07:38:00,07:38:30
T_M1_42,S_CAIROLI,3,07:40:00,07:40:30
T_M1_42,S_CADORNA,4,07:42:00,07:42:30
T_M1_42,S_PAGANO,5,07:44:00,07:44:30
T_M1_42,S_AMENDOLA,6,07:46:00,07:46:30
T_M1_42,S_BUONARROTI,7,07:48:00,07:48:30
T_M1_42,S_DEANGELI,8,07:50:00,07:50:00
T_M1_43,S_DEANGELI,1,07:39:00,07:39:30
T_M1_43,S_BUONARROTI,2,07:41:00,07:41:30
T_M1_43,S_AMENDOLA,3,07:43:00,07:43:30
T_M1_43,S_PAGANO,4,07:45:00,07:45:30
T_M1_43,S_CADORNA,5,07:47:00,07:47:30
T_M1_43,S_CAIROLI,6,07:49:00,07:49:30
T_M1_43,S_CORDUSIO,7,07:51:00,07:51:30
T_M1_43,S_DUOMO,8,07:53:00,07:53:00
T_M1_44,S_DUOMO,1,07:42:00,07:42:30
T_M1_44,S_CORDUSIO,2,07:44:00,07:44:30
T_M1_44,S_CAIROLI,3,07:46:00,07:46:30
T_M1_44,S_CADORNA,4,07:48:00,07:48:30
T_M1_44,S_PAGANO,5,07:50:00,07:50:30
T_M1_44,S_AMENDOLA,6,07:52:00,07:52:30
T_M1_44,S_BUONARROTI,7,07:54:00,07:54:30
T_M1_44,S_DEANGELI,8,07:56:00,07:56:00
T_M1_45,S_DEANGELI,1,07:45:00,07:45:30
T_M1_45,S_BUONARROTI,2,07:47:00,07:47:30
T_M1_45,S_AMENDOLA,3,07:49:00,07:49:30
T_M1_45,S_PAGANO,4,07:51:00,07:51:30
T_M1_45,S_CADORNA,5,07:53:00,07:53:30
T_M1_45,S_CAIROLI,6,07:55:00,07:55:30
T_M1_45,S_CORDUSIO,7,07:57:00,07:57:30
T_M1_45,S_DUOMO,8,07:59:00,07:59:00
T_M1_46,S_DUOMO,1,07:48:00,07:48:30
T_M1_46,S_CORDUSIO,2,07:50:00,07:50:30
T_M1_46,S_CAIROLI,3,07:52:00,07:52:30
T_M1_46,S_CADORNA,4,07:54:00,07:54:30
T_M1_46,S_PAGANO,5,07:56:00,07:56:30
T_M1_46,S_AMENDOLA,6,07:58:00,07:58:30
T_M1_46,S_BUONARROTI,7,08:00:00,08:00:30
T_M1_46,S_DEANGELI,8,08:02:00,08:02:00
T_M1_47,S_DEANGELI,1,07:51:00,07:51:30
T_M1_47,S_BUONARROTI,2,07:53:00,07:53:30
T_M1_47,S_AMENDOLA,3,07:55:00,07:55:30
T_M1_47,S_PAGANO,4,07:57:00,07:57:30
T_M1_47,S_CADORNA,5,07:59:00,07:59:30
T_M1_47,S_CAIROLI,6,08:01:00,08:01:30
T_M1_47,S_CORDUSIO,7,08:03:00,08:03:30
T_M1_47,S_DUOMO,8,08:05:00,08:05:00
T_M1_48,S_DUOMO,1,07:54:00,07:54:30
T_M1_48,S_CORDUSIO,2,07:56:00,07:56:30
T_M1_48,S_CAIROLI,3,07:58:00,07:58:30
T_M1_48,S_CADORNA,4,08:00:00,08:00:30
T_M1_48,S_PAGANO,5,08:02:00,08:02:30
T_M1_48,S_AMENDOLA,6,08:04:00,08:04:30
T_M1_48,S_BUONARROTI,7,08:06:00,08:06:30
T_M1_48,S_DEANGELI,8,08:08:00,08:08:00
T_M1_49,S_DEANGELI,1,07:57:00,07:57:30
T_M1_49,S_BUONARROTI,2,07:59:00,07:59:30
T_M1_49,S_AMENDOLA,3,08:01:00,08:01:30
T_M1_49,S_PAGANO,4,08:03:00,08:03:30
T_M1_49,S_CADORNA,5,08:05:00,08:05:30
T_M1_49,S_CAIROLI,6,08:07:00,08:07:30
T_M1_49,S_CORDUSIO,7,08:09:00,08:09:30
T_M1_49,S_DUOMO,8,08:11:00,08:11:00
T_M1_50,S_DUOMO,1,08:00:00,08:00:30
T_M1_50,S_CORDUSIO,2,08:02:00,08:02:30
T_M1_50,S_CAIROLI,3,08:04:00,08:04:30
T_M1_50,S_CADORNA,4,08:06:00,08:06:30
T_M1_50,S_PAGANO,5,08:08:00,08:08:30
T_M1_50,S_AMENDOLA,6,08:10:00,08:10:30
T_M1_50,S_BUONARROTI,7,08:12:00,08:12:30
T_M1_50,S_DEANGELI,8,08:14:00,08:14:00
T_M1_51,S_DEANGELI,1,08:03:00,08:03:30
T_M1_51,S_BUONARROTI,2,08:05:00,08:05:30
T_M1_51,S_AMENDOLA,3,08:07:00,08:07:30
T_M1_51,S_PAGANO,4,08:09:00,08:09:30
T_M1_51,S_CADORNA,5,08:11:00,08:11:30
T_M1_51,S_CAIROLI,6,08:13:00,08:13:30
T_M1_51,S_CORDUSIO,7,08:15:00,08:15:30
T_M1_51,S_DUOMO,8,08:17:00,08:17:00
T_M1_52,S_DUOMO,1,08:06:00,08:06:30
T_M1_52,S_CORDUSIO,2,08:08:00,08:08:30
T_M1_52,S_CAIROLI,3,08:10:00,08:10:30
T_M1_52,S_CADORNA,4,08:12:00,08:12:30
T_M1_52,S_PAGANO,5,08:14:00,08:14:30
T_M1_52,S_AMENDOLA,6,08:16:00,08:16:30
T_M1_52,S_BUONARROTI,7,08:18:00,08:18:30
T_M1_52,S_DEANGELI,8,08:20:00,08:20:00
T_M1_53,S_DEANGELI,1,08:09:00,08:09:30
T_M1_53,S_BUONARROTI,2,08:11:00,08:11:30
T_M1_53,S_AMENDOLA,3,08:13:00,08:13:30
T_M1_53,S_PAGANO,4,08:15:00,08:15:30
T_M1_53,S_CADORNA,5,08:17:00,08:17:30
T_M1_53,S_CAIROLI,6,08:19:00,08:19:30
T_M1_53,S_CORDUSIO,7,08:21:00,08:21:30
T_M1_53,S_DUOMO,8,08:23:00,08:23:00
T_M1_54,S_DUOMO,1,08:12:00,08:12:30
T_M1_54,S_CORDUSIO,2,08:14:00,08:14:30
T_M1_54,S_CAIROLI,3,08:16:00,08:16:30
T_M1_54,S_CADORNA,4,08:18:00,08:18:30
T_M1_54,S_PAGANO,5,08:20:00,08:20:30
T_M1_54,S_AMENDOLA,6,08:22:00,08:22:30
T_M1_54,S_BUONARROTI,7,08:24:00,08:24:30
T_M1_54,S_DEANGELI,8,08:26:00,08:26:00
T_M1_55,S_DEANGELI,1,08:15:00,08:15:30
T_M1_55,S_BUONARROTI,2,08:17:00,08:17:30
T_M1_55,S_AMENDOLA,3,08:19:00,08:19:30
T_M1_55,S_PAGANO,4,08:21:00,08:21:30
T_M1_55,S_CADORNA,5,08:23:00,08:23:30
T_M1_55,S_CAIROLI,6,08:25:00,08:25:30
T_M1_55,S_CORDUSIO,7,08:27:00,08:27:30
T_M1_55,S_DUOMO,8,08:29:00,08:29:00
T_M1_56,S_DUOMO,1,08:18:00,08:18:30
T_M1_56,S_CORDUSIO,2,08:20:00,08:20:30
T_M1_56,S_CAIROLI,3,08:22:00,08:22:30
T_M1_56,S_CADORNA,4,08:24:00,08:24:30
T_M1_56,S_PAGANO,5,08:26:00,08:26:30
T_M1_56,S_AMENDOLA,6,08:28:00,08:28:30
T_M1_56,S_BUONARROTI,7,08:30:00,08:30:30
T_M1_56,S_DEANGELI,8,08:32:00,08:32:00
T_M1_57,S_DEANGELI,1,08:21:00,08:21:30
T_M1_57,S_BUONARROTI,2,08:23:00,08:23:30
T_M1_57,S_AMENDOLA,3,08:25:00,08:25:30
T_M1_57,S_PAGANO,4,08:27:00,08:27:30
T_M1_57,S_CADORNA,5,08:29:00,08:29:30
T_M1_57,S_CAIROLI,6,08:31:00,08:31:30
T_M1_57,S_CORDUSIO,7,08:33:00,08:33:30
T_M1_57,S_DUOMO,8,08:35:00,08:35:00
